top - 09:47:01 up  3:33,  3 users,  load average: 0.70, 0.28, 0.36
Tasks: 178 total,   3 running, 175 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.0 us,  0.7 sy,  0.0 ni, 91.2 id,  0.1 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  1884064 total,   384532 free,  1106016 used,   393516 buff/cache
KiB Swap:  1601532 total,  1212960 free,   388572 used.   604972 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 3961 dragos    20   0    8484     84     80 S   0.0  0.0   0:00.00 gnome-pty-+
 3962 dragos    20   0  116652    136    132 S   0.0  0.0   0:00.05 bash
 4031 dragos    20   0  113116    108    104 S   0.0  0.0   0:00.00 rubymine.sh
 4074 dragos    20   0 3434392 629536   8344 S   0.0 33.4  14:19.96 java
 4107 dragos    20   0    4792    100      0 S   0.0  0.0   0:01.44 fsnotifier+
 5081 dragos    20   0  116552   2396    776 S   0.0  0.1   0:00.04 bash
 5653 dragos    20   0  116564   1744    132 S   0.0  0.1   0:00.05 bash
 6788 root      20   0       0      0      0 S   0.0  0.0   0:01.01 kworker/1:2
 7448 root      20   0       0      0      0 S   0.0  0.0   0:03.78 kworker/0:1
15072 postfix   20   0   93320   3908   2904 S   0.0  0.2   0:00.01 pickup
15305 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:1
15335 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0
15533 dragos    20   0  415332  20608   7628 S   0.0  1.1   0:00.69 ruby
15546 dragos    20   0  230724  14180   2884 S   0.0  0.8   0:00.22 ruby
15575 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0
15715 root      20   0  107892    616    528 S   0.0  0.0   0:00.00 sleep
15727 dragos    20   0  113120   1224   1032 S   0.0  0.1   0:00.00 sh
15728 dragos    20   0  157688   2072   1484 R   0.0  0.1   0:00.00 top
